method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
fixed_dumb,140,15.0,0.0,40.0,0.0,24,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,24,29.517694878711797,5.759430683187955,15.506595085925545,7.040220289901634,14.011099792786256,6.674392527723276
bo_marginal_random,140,15.0,0.0,40.0,0.0,24,27.16711723106457,8.398361455770099,14.673377012944382,7.215967496621666,12.49374021812019,9.425275612125962
random,140,15.0,0.0,40.0,0.0,25,26.703030227499234,8.659771293635115,13.5503118265577,6.152773931545056,13.152718400941534,8.493466363397424
fixed_dumb,140,15.0,0.0,40.0,0.0,25,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,25,26.678074649026914,8.922541809423981,13.67658827567743,7.033336840988351,13.001486373349477,6.76411092427895
bo_marginal_random,140,15.0,0.0,40.0,0.0,25,26.709351339365263,8.144539144986071,14.567736025509939,7.344519194725257,12.14161531385532,8.93726768690924
random,140,15.0,0.0,40.0,0.0,26,24.972287561184185,8.852158669478642,12.535149297070962,6.194301029153749,12.437138264113221,8.330436379829791
fixed_dumb,140,15.0,0.0,40.0,0.0,26,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,26,25.8176810695341,5.835538116406216,17.059975580757957,6.069700542987051,8.757705488776145,6.419913045183705
bo_marginal_random,140,15.0,0.0,40.0,0.0,26,26.74944664699579,7.811117370500676,15.917614269407444,6.696461918949801,10.831832377588347,7.901325678026046
random,140,15.0,0.0,40.0,0.0,27,25.827104033222497,8.559610747973094,12.5017648157532,6.346380063870317,13.325339217469299,8.916536072527867
fixed_dumb,140,15.0,0.0,40.0,0.0,27,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,27,27.836178694672938,10.100250496639207,16.466038134078495,6.2915579224960725,11.370140560594447,7.888062066606834
bo_marginal_random,140,15.0,0.0,40.0,0.0,27,26.797990521114354,8.366269966567435,16.309144731386283,6.257263241033371,10.488845789728066,8.392949815199957
random,140,15.0,0.0,40.0,0.0,28,27.703400386250898,8.06950015986941,13.5799005178542,6.4587150405273315,14.123499868396697,8.714034312496285
fixed_dumb,140,15.0,0.0,40.0,0.0,28,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,28,23.265514659781406,8.359139979140203,11.764261351754602,5.529991633795513,11.501253308026804,7.989658703669455
bo_marginal_random,140,15.0,0.0,40.0,0.0,28,26.195199237098333,8.740362259669599,14.580639432980531,6.8862267232483285,11.614559804117802,8.251553773286734
random,140,15.0,0.0,40.0,0.0,29,26.264819632131633,8.150119518377222,13.38202010064771,6.519982325060162,12.88279953148392,8.423685465899608
fixed_dumb,140,15.0,0.0,40.0,0.0,29,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,29,24.158490278984754,7.638369621342276,12.626211951253346,7.2342719949925325,11.53227832773141,7.324141246122164
bo_marginal_random,140,15.0,0.0,40.0,0.0,29,26.017263157840297,8.279372838340272,14.092922402030563,6.678144581166786,11.924340755809737,8.812792209120017
random,140,15.0,0.0,40.0,0.0,30,26.86178860666075,7.894105627281506,12.778098428590498,6.157026876480022,14.083690178070249,8.464310745550913
fixed_dumb,140,15.0,0.0,40.0,0.0,30,2.0,0.0,2.0,0.0,0.0,0.0
bo,140,15.0,0.0,40.0,0.0,30,25.781155792627995,7.030754200044938,13.043429874913912,7.592191781907883,12.737725917714082,9.956403237414278
bo_marginal_random,140,15.0,0.0,40.0,0.0,30,27.21287181492488,7.953417792467691,15.646468757593397,6.4572508352049125,11.56640305733149,8.69012323612647
