method,n_designs,pred0_mean,pred0_std,prey0_mean,prey0_std,round,t_end_mean,t_end_std,t_span_mean,t_span_std,t_start_mean,t_start_std
random,10,15.0,0.0,40.0,0.0,7,30.6816426238288,6.024591717401433,16.917844297474723,5.5213054272691835,13.763798326354074,8.405553822507022
fixed_dumb,10,15.0,0.0,40.0,0.0,7,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,7,35.54857699289803,4.43769647617788,22.52704119796396,0.4041368483946446,13.021535794934072,4.0335596277832355
bo_marginal_random,10,15.0,0.0,40.0,0.0,7,31.028690468604008,8.629760351917245,15.168513682763768,8.739722952806222,15.860176785840244,4.7938905694658
random,10,15.0,0.0,40.0,0.0,8,27.809958081267467,11.310930696051907,13.407492017712437,7.767367409764423,14.40246606355503,9.529732590525526
fixed_dumb,10,15.0,0.0,40.0,0.0,8,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,8,35.192735011844036,3.863120208842871,23.593994499256144,0.38063496622851467,11.598740512587897,3.4824852426143575
bo_marginal_random,10,15.0,0.0,40.0,0.0,8,29.675372496060106,7.629636759964457,14.369308280251065,8.347203880049316,15.306064215809045,9.064799294424125
random,10,15.0,0.0,40.0,0.0,9,23.652710808391184,7.912385774861929,11.664239699160031,7.530176635394446,11.988471109231153,9.212691425632729
fixed_dumb,10,15.0,0.0,40.0,0.0,9,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,9,35.08336786870353,3.972487351983379,23.04876690752699,0.9258625579576717,12.034600961176546,3.0466247940257083
bo_marginal_random,10,15.0,0.0,40.0,0.0,9,31.086913531948756,6.722699231168293,13.318131123166514,8.46520239499219,17.76878240878224,9.797681333826018
random,10,15.0,0.0,40.0,0.0,10,28.72369126853888,5.303784369096159,18.238423570353522,5.982880005670688,10.485267698185353,7.111898465146661
fixed_dumb,10,15.0,0.0,40.0,0.0,10,2.0,0.0,2.0,0.0,0.0,0.0
bo,10,15.0,0.0,40.0,0.0,10,37.34733818647249,2.63893528260342,22.969353814922933,0.03817576856432936,14.377984371549555,2.677111051167751
